"Story","Title","Result","Date","Stability","Duration (s)"
"Validation on Landing page","Validate that the user is navigated to Welcome page","SUCCESS","2021-08-30T11:55:53.2830496+05:30[Asia/Calcutta]","0.0","0.73"
"Validation on Landing page","Validate user is able to click on 'Sign Up' button and navigate to Sign Up page","SUCCESS","2021-08-30T11:55:54.04431+05:30[Asia/Calcutta]","0.0","0.25"
"Validation on Landing page","Validate user is able to click on 'Login' button and navigate to Login page","SUCCESS","2021-08-30T11:55:54.3169631+05:30[Asia/Calcutta]","0.0","0.33"
"Validation on Sign Up Page negative test case","Validate the 'Apply' button disabled when Referral code field is blank","SUCCESS","2021-08-30T11:55:56.3846724+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Sign Up Page negative test case","Verify the scenario when 'Sign Up' button is disabled  when 'Terms & Conditions' is unchecked","SUCCESS","2021-08-30T11:55:56.7685231+05:30[Asia/Calcutta]","0.0","0.12"
"Validation on Sign Up Positive test cases","Verify that the browser is lauched.Clicks on the Signup button and navigates to Signup page","SUCCESS","2021-08-30T11:55:56.9044838+05:30[Asia/Calcutta]","0.0","0.15"
"Validation on Sign Up Positive test cases","Verify clicking on login link will navigate to login page","SUCCESS","2021-08-30T11:55:57.0592575+05:30[Asia/Calcutta]","0.0","0.26"
"Validation on Sign Up Positive test cases","Verify that the data entered in both Password and Confirm password fields are masked","SUCCESS","2021-08-30T11:55:57.3250025+05:30[Asia/Calcutta]","0.0","0.12"
"Validation on Sign Up Positive test cases","Verify that the password should be displayed on an eye click for Password fields","SUCCESS","2021-08-30T11:55:57.45968+05:30[Asia/Calcutta]","0.0","0.26"
"Validation on Sign Up Positive test cases","Verify that the Confirm password field by comparing data entered in the Password field","SUCCESS","2021-08-30T11:55:57.7274623+05:30[Asia/Calcutta]","0.0","0.12"
"Validation on Sign Up Positive test cases","Verify click on Sign Up with valid credentials","SUCCESS","2021-08-30T11:55:57.8601053+05:30[Asia/Calcutta]","0.0","0.27"
"Validate login negative functionality","Validate that the user should get a validation message on entering invalid credentials in the 'Login' Page","SUCCESS","2021-08-30T11:55:58.4214031+05:30[Asia/Calcutta]","0.0","0.23"
"Validate login negative functionality","Validate that the user is not allowed to login with invalid 'Phone number' and valid 'Password'","SUCCESS","2021-08-30T11:55:58.6633844+05:30[Asia/Calcutta]","0.0","0.24"
"Validate login negative functionality","Validate that the user is not allowed to login with invalid Password and valid phone number","SUCCESS","2021-08-30T11:55:58.9097605+05:30[Asia/Calcutta]","0.0","0.26"
"Validate login positive functionality","Validate that the 'Phone number' field is prefixed with +1 country code","SUCCESS","2021-08-30T11:55:59.1781007+05:30[Asia/Calcutta]","0.0","0.31"
"Validate login positive functionality","Validate that the user is able to click on the 'Forgot password?' link","SUCCESS","2021-08-30T11:55:59.4924662+05:30[Asia/Calcutta]","0.0","0.01"
"Validate login positive functionality","Validate that the user is able click on the 'Sign up' link","SUCCESS","2021-08-30T11:55:59.5084244+05:30[Asia/Calcutta]","0.0","0.01"
"Validate login positive functionality","Validate that the user is able to enter  the password in the 'Password' field","SUCCESS","2021-08-30T11:55:59.5268942+05:30[Asia/Calcutta]","0.0","0.14"
