"Story","Title","Result","Date","Stability","Duration (s)"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid firstname and lastname","ERROR","2021-08-30T11:55:54.6757097+05:30[Asia/Calcutta]","0.0","0.31"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid 'Email ID'","ERROR","2021-08-30T11:55:55.0553981+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Email ID' field","ERROR","2021-08-30T11:55:55.2429261+05:30[Asia/Calcutta]","0.0","0.15"
"Validation on Sign Up Page negative test case","Verify the scenario when entering less than 10 digits in the 'Phone number' field","ERROR","2021-08-30T11:55:55.4090624+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when entering more than 10 digits in 'Phone number' field","ERROR","2021-08-30T11:55:55.5566681+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering already registered phone number","ERROR","2021-08-30T11:55:55.7276874+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Password' field","ERROR","2021-08-30T11:55:55.8750467+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when password strength message and progress bar is displayed while entering password in 'Password' field","ERROR","2021-08-30T11:55:56.0573591+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering different data in 'Password' and 'Confirm Password'","ERROR","2021-08-30T11:55:56.2292598+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Validate that the user should get a validation message on entering invalid referral code","ERROR","2021-08-30T11:55:56.6288427+05:30[Asia/Calcutta]","0.0","0.13"
