"Story","Title","Result","Date","Stability","Duration (s)"
"Verify the header page positive scenarios","Validation of the Drop down tab","ERROR","2021-08-30T11:56:00.605106+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate profile page on clicking  Your profile tab","ERROR","2021-08-30T11:56:00.7333492+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate  Your ratings dashboard","ERROR","2021-08-30T11:56:00.7532984+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate the alerts page","ERROR","2021-08-30T11:56:00.8871462+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Help or FAQ  page","ERROR","2021-08-30T11:56:01.0298852+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate  Privacy Policy dialogue box on clicking on the Privacy Policy","ERROR","2021-08-30T11:56:01.17705+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Terms & Conditions dialogue box on clicking on the Terms & Conditions","ERROR","2021-08-30T11:56:01.3166765+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate the Contact Us page","ERROR","2021-08-30T11:56:01.3346641+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate that the user is navigated to the Feedback Port   page  on clicking Feedback","ERROR","2021-08-30T11:56:01.3515828+05:30[Asia/Calcutta]","0.0","0.14"
"Verify the header page positive scenarios","Validate the Landing page on clicking Log out icon","ERROR","2021-08-30T11:56:01.4999883+05:30[Asia/Calcutta]","0.0","0.14"
