"Story","Title","Result","Date","Stability","Duration (s)"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid firstname and lastname","ERROR","2021-08-30T11:55:54.6757097+05:30[Asia/Calcutta]","0.0","0.31"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid 'Email ID'","ERROR","2021-08-30T11:55:55.0553981+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Email ID' field","ERROR","2021-08-30T11:55:55.2429261+05:30[Asia/Calcutta]","0.0","0.15"
"Validation on Sign Up Page negative test case","Verify the scenario when entering less than 10 digits in the 'Phone number' field","ERROR","2021-08-30T11:55:55.4090624+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when entering more than 10 digits in 'Phone number' field","ERROR","2021-08-30T11:55:55.5566681+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering already registered phone number","ERROR","2021-08-30T11:55:55.7276874+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Password' field","ERROR","2021-08-30T11:55:55.8750467+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when password strength message and progress bar is displayed while entering password in 'Password' field","ERROR","2021-08-30T11:55:56.0573591+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering different data in 'Password' and 'Confirm Password'","ERROR","2021-08-30T11:55:56.2292598+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Validate that the user should get a validation message on entering invalid referral code","ERROR","2021-08-30T11:55:56.6288427+05:30[Asia/Calcutta]","0.0","0.13"
"Validate login negative functionality","Validate that the user is not allowed to login when Phone number and Password fields are blank","ERROR","2021-08-30T11:55:58.3981041+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validation of the Drop down tab","ERROR","2021-08-30T11:56:00.605106+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate profile page on clicking  Your profile tab","ERROR","2021-08-30T11:56:00.7333492+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate  Your ratings dashboard","ERROR","2021-08-30T11:56:00.7532984+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate the alerts page","ERROR","2021-08-30T11:56:00.8871462+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Help or FAQ  page","ERROR","2021-08-30T11:56:01.0298852+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate  Privacy Policy dialogue box on clicking on the Privacy Policy","ERROR","2021-08-30T11:56:01.17705+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Terms & Conditions dialogue box on clicking on the Terms & Conditions","ERROR","2021-08-30T11:56:01.3166765+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate the Contact Us page","ERROR","2021-08-30T11:56:01.3346641+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate that the user is navigated to the Feedback Port   page  on clicking Feedback","ERROR","2021-08-30T11:56:01.3515828+05:30[Asia/Calcutta]","0.0","0.14"
"Verify the header page positive scenarios","Validate the Landing page on clicking Log out icon","ERROR","2021-08-30T11:56:01.4999883+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Utilities page negative test cases","Add card details  in the Wallet dashboard","ERROR","2021-08-30T11:56:02.145054+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Award Points Page","Unable to click on the 'Redeem' button on leaving the field 'Enter Amount' blank on ""Redeem Award Points"" page","ERROR","2021-08-30T11:56:03.6815208+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is navigated to Welcome page","ERROR","2021-08-30T11:56:04.3626138+05:30[Asia/Calcutta]","0.0","0.01"
"Validate Second Opinion Dashboard","Validate that the user is able to click on Resume Cases and is navigated to uplaod scans page","ERROR","2021-08-30T11:56:07.6115544+05:30[Asia/Calcutta]","0.0","0.12"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate message on entering invalid details in the Add Bank page","ERROR","2021-08-30T11:56:09.613961+05:30[Asia/Calcutta]","0.0","0.01"
