"Story","Title","Result","Date","Stability","Duration (s)"
"Validation on Landing page","Validate that the user is navigated to Welcome page","SUCCESS","2021-08-30T11:55:53.2830496+05:30[Asia/Calcutta]","0.0","0.73"
"Validation on Landing page","Validate user is able to click on 'Sign Up' button and navigate to Sign Up page","SUCCESS","2021-08-30T11:55:54.04431+05:30[Asia/Calcutta]","0.0","0.25"
"Validation on Landing page","Validate user is able to click on 'Login' button and navigate to Login page","SUCCESS","2021-08-30T11:55:54.3169631+05:30[Asia/Calcutta]","0.0","0.33"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid firstname and lastname","ERROR","2021-08-30T11:55:54.6757097+05:30[Asia/Calcutta]","0.0","0.31"
"Validation on Sign Up Page negative test case","Verify the scenario when entered invalid 'Email ID'","ERROR","2021-08-30T11:55:55.0553981+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Email ID' field","ERROR","2021-08-30T11:55:55.2429261+05:30[Asia/Calcutta]","0.0","0.15"
"Validation on Sign Up Page negative test case","Verify the scenario when entering less than 10 digits in the 'Phone number' field","ERROR","2021-08-30T11:55:55.4090624+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when entering more than 10 digits in 'Phone number' field","ERROR","2021-08-30T11:55:55.5566681+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering already registered phone number","ERROR","2021-08-30T11:55:55.7276874+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Verify the scenario when blank 'Password' field","ERROR","2021-08-30T11:55:55.8750467+05:30[Asia/Calcutta]","0.0","0.17"
"Validation on Sign Up Page negative test case","Verify the scenario when password strength message and progress bar is displayed while entering password in 'Password' field","ERROR","2021-08-30T11:55:56.0573591+05:30[Asia/Calcutta]","0.0","0.16"
"Validation on Sign Up Page negative test case","Verify the scenario when entering different data in 'Password' and 'Confirm Password'","ERROR","2021-08-30T11:55:56.2292598+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Sign Up Page negative test case","Validate the 'Apply' button disabled when Referral code field is blank","SUCCESS","2021-08-30T11:55:56.3846724+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Sign Up Page negative test case","Validate that the user should get a validation message on entering invalid referral code","ERROR","2021-08-30T11:55:56.6288427+05:30[Asia/Calcutta]","0.0","0.13"
"Validation on Sign Up Page negative test case","Verify the scenario when 'Sign Up' button is disabled  when 'Terms & Conditions' is unchecked","SUCCESS","2021-08-30T11:55:56.7685231+05:30[Asia/Calcutta]","0.0","0.12"
"Validation on Sign Up Positive test cases","Verify that the browser is lauched.Clicks on the Signup button and navigates to Signup page","SUCCESS","2021-08-30T11:55:56.9044838+05:30[Asia/Calcutta]","0.0","0.15"
"Validation on Sign Up Positive test cases","Verify clicking on login link will navigate to login page","SUCCESS","2021-08-30T11:55:57.0592575+05:30[Asia/Calcutta]","0.0","0.26"
"Validation on Sign Up Positive test cases","Verify that the data entered in both Password and Confirm password fields are masked","SUCCESS","2021-08-30T11:55:57.3250025+05:30[Asia/Calcutta]","0.0","0.12"
